id,reportPath,selectedBackend,riskScore,highlightClipRatio,shadowClipRatio,abMeanDelta,blackGuard,suspectedBlackFrame
mindfullens_render_debug_1776534665735,data/raw/reference/reports/mindfullens_render_debug_1776534665735.json,macOS ImageIO / sips,0.005535,0,0,0.369,false,false
mindfullens_render_debug_1776534838108,data/raw/reference/reports/mindfullens_render_debug_1776534838108.json,macOS ImageIO / sips,0.011025,0,0,0.735,false,false
mindfullens_render_debug_1776534854074,data/raw/reference/reports/mindfullens_render_debug_1776534854074.json,macOS ImageIO / sips,0.14041499999999998,0,0,9.361,false,false
mindfullens_render_debug_1776534882261,data/raw/reference/reports/mindfullens_render_debug_1776534882261.json,macOS QuickLook / qlmanage,0.141255,0,0,9.417,false,false
mindfullens_render_debug_1776534895499,data/raw/reference/reports/mindfullens_render_debug_1776534895499.json,macOS QuickLook / qlmanage,0.093225,0,0,6.215,false,false
mindfullens_render_debug_1776534908488,data/raw/reference/reports/mindfullens_render_debug_1776534908488.json,macOS QuickLook / qlmanage,0.12130499999999998,0,0,8.087,false,false
mindfullens_render_debug_1776534921039,data/raw/reference/reports/mindfullens_render_debug_1776534921039.json,macOS ImageIO / sips,0.0072,0,0,0.48,false,false
mindfullens_render_debug_1776534931219,data/raw/reference/reports/mindfullens_render_debug_1776534931219.json,macOS ImageIO / sips,0.142485,0,0,9.499,false,false
mindfullens_render_debug_1776534940397,data/raw/reference/reports/mindfullens_render_debug_1776534940397.json,macOS ImageIO / sips,0.097455,0,0,6.497,false,false
mindfullens_render_debug_1776534955565,data/raw/reference/reports/mindfullens_render_debug_1776534955565.json,macOS ImageIO / sips,0.00408,0,0,0.272,false,false
mindfullens_render_debug_1776534966251,data/raw/reference/reports/mindfullens_render_debug_1776534966251.json,macOS QuickLook / qlmanage,0.06058499999999999,0,0,4.039,false,false
mindfullens_render_debug_1776534980344,data/raw/reference/reports/mindfullens_render_debug_1776534980344.json,macOS ImageIO / sips,0.116385,0,0,7.759,false,false
mindfullens_render_debug_1776534992778,data/raw/reference/reports/mindfullens_render_debug_1776534992778.json,macOS ImageIO / sips,0.12031500000000002,0,0,8.021,false,false
mindfullens_render_debug_1776535005013,data/raw/reference/reports/mindfullens_render_debug_1776535005013.json,macOS ImageIO / sips,0.198765,0,0,13.251,false,false
mindfullens_render_debug_1776535322528,data/raw/reference/reports/mindfullens_render_debug_1776535322528.json,macOS QuickLook / qlmanage,0.054165,0,0,3.611,false,false
mindfullens_render_debug_1776535341104,data/raw/reference/reports/mindfullens_render_debug_1776535341104.json,macOS ImageIO / sips,0.07390499999999998,0,0,4.927,false,false
mindfullens_render_debug_1776535364753,data/raw/reference/reports/mindfullens_render_debug_1776535364753.json,macOS ImageIO / sips,0.007395,0,0,0.493,false,false
